Date,Month,Highest Temp (C°),Lowest Temp (C°),Average Temp (C°),Total Yield [kWh]
01/01/2022,January,26,16,21,"1,138.53"
01/02/2022,January,23,15,19,862.21
01/03/2022,January,26,16,21,971.83
01/04/2022,January,25,16,20.5,"1,068.55"
01/05/2022,January,25,14,19.5,918.98
01/06/2022,January,25,15,20,836.85
01/07/2022,January,29,18,23.5,"1,072.18"
01/08/2022,January,28,18,23,"1,130.79"
01/09/2022,January,27,17,22,"1,149.34"
01/10/2022,January,28,18,23,"1,032.84"
01/11/2022,January,27,19,23,"1,040.45"
01/12/2022,January,24,20,22,476.1
01/13/2022,January,27,19,23,790.17
01/14/2022,January,23,18,20.5,417.39
01/15/2022,January,25,18,21.5,541.9
01/16/2022,January,25,18,21.5,"1,180.06"
01/17/2022,January,25,16,20.5,"1,121.81"
01/18/2022,January,26,16,21,972.92
01/19/2022,January,26,17,21.5,"1,039.18"
01/20/2022,January,25,15,20,"1,012.59"
01/21/2022,January,24,16,20,"1,048.64"
01/22/2022,January,24,16,20,477.17
01/23/2022,January,25,17,21,516.09
01/24/2022,January,25,18,21.5,750.77
01/25/2022,January,24,17,20.5,647.82
01/26/2022,January,24,17,20.5,717.2
01/27/2022,January,24,17,20.5,"1,068.76"
01/28/2022,January,24,15,19.5,"1,245.65"
01/29/2022,January,22,12,17,"1,084.51"
01/30/2022,January,24,13,18.5,"1,220.18"
01/31/2022,January,25,15,20,"1,027.81"
02/01/2022,February,25,14,19.5,"1,063.98"
02/02/2022,February,27,16,21.5,"1,269.08"
02/03/2022,February,26,17,21.5,"1,038.93"
02/04/2022,February,25,17,21,640.25
02/05/2022,February,25,16,20.5,"1,273.68"
02/06/2022,February,22,15,18.5,"1,357.86"
02/07/2022,February,24,15,19.5,"1,453.26"
02/08/2022,February,24,15,19.5,"1,266.47"
02/09/2022,February,25,16,20.5,"1,175.75"
02/10/2022,February,21,16,18.5,107.2
02/11/2022,February,25,17,21,"1,008.86"
02/12/2022,February,25,15,20,"1,444.73"
02/13/2022,February,26,17,21.5,"1,492.39"
02/14/2022,February,28,16,22,"1,316.22"
02/15/2022,February,28,17,22.5,"1,319.33"
02/16/2022,February,27,17,22,"1,183.79"
02/17/2022,February,28,16,22,"1,268.54"
02/18/2022,February,29,18,23.5,"1,439.62"
02/19/2022,February,29,17,23,"1,305.98"
02/20/2022,February,27,18,22.5,"1,049.83"
02/21/2022,February,28,17,22.5,"1,490.29"
02/22/2022,February,27,17,22,"1,439.38"
02/23/2022,February,29,19,24,"1,201.49"
02/24/2022,February,31,19,25,"1,063.95"
02/25/2022,February,30,21,25.5,"1,447.25"
02/26/2022,February,31,22,26.5,"1,353.36"
02/27/2022,February,31,21,26,"1,144.37"
02/28/2022,February,32,21,26.5,"1,407.95"
03/01/2022,March,32,22,27,"1,452.01"
03/02/2022,March,32,22,27,"1,516.92"
03/03/2022,March,30,22,26,"1,520.21"
03/04/2022,March,31,21,26,"1,538.39"
03/05/2022,March,31,23,27,"1,325.26"
03/06/2022,March,34,22,28,"1,463.10"
03/07/2022,March,34,22,28,"1,391.63"
03/08/2022,March,33,22,27.5,"1,237.65"
03/09/2022,March,33,23,28,"1,384.48"
03/10/2022,March,36,22,29,"1,438.85"
03/11/2022,March,36,22,29,"1,541.08"
03/12/2022,March,35,23,29,"1,467.54"
03/13/2022,March,34,23,28.5,"1,473.29"
03/14/2022,March,34,23,28.5,"1,390.08"
03/15/2022,March,36,24,30,400.67
03/16/2022,March,35,24,29.5,"1,378.05"
03/17/2022,March,36,24,30,"1,268.09"
03/18/2022,March,36,24,30,"1,364.19"
03/19/2022,March,35,24,29.5,232.68
03/20/2022,March,35,26,30.5,685.53
03/21/2022,March,35,25,30,"1,159.70"
03/22/2022,March,35,26,30.5,"1,412.32"
03/23/2022,March,36,25,30.5,"1,268.25"
03/24/2022,March,36,26,31,"1,450.36"
03/25/2022,March,34,28,31,"1,019.65"
03/26/2022,March,33,27,30,64.11
03/27/2022,March,33,27,30,864.65
03/28/2022,March,35,25,30,"1,133.45"
03/29/2022,March,34,25,29.5,"1,052.69"
03/30/2022,March,36,25,30.5,"1,256.54"
03/31/2022,March,35,25,30,"1,179.30"
04/01/2022,April,34,26,30,884.55
04/02/2022,April,35,27,31,714.33
04/03/2022,April,34,27,30.5,981.14
04/04/2022,April,35,28,31.5,"1,441.94"
04/05/2022,April,35,27,31,"1,373.68"
04/06/2022,April,34,28,31,"1,349.54"
04/07/2022,April,35,28,31.5,"1,505.28"
04/08/2022,April,35,27,31,"1,618.30"
04/09/2022,April,35,28,31.5,"1,265.11"
04/10/2022,April,34,28,31,960.02
04/11/2022,April,34,28,31,"1,075.37"
04/12/2022,April,34,27,30.5,767.66
04/13/2022,April,34,28,31,"1,198.90"
04/14/2022,April,36,28,32,964.08
04/15/2022,April,36,27,31.5,"1,373.50"
04/16/2022,April,35,28,31.5,"1,013.65"
04/17/2022,April,34,28,31,"1,112.19"
04/18/2022,April,35,28,31.5,"1,271.03"
04/19/2022,April,36,29,32.5,"1,376.28"
04/20/2022,April,30,22,26,593.36
04/21/2022,April,31,23,27,"1,317.51"
04/22/2022,April,33,25,29,"1,184.19"
04/23/2022,April,35,23,29,"1,305.95"
04/24/2022,April,35,27,31,"1,414.92"
04/25/2022,April,36,28,32,"1,297.97"
04/26/2022,April,36,28,32,"1,165.39"
04/27/2022,April,36,27,31.5,"1,226.83"
04/28/2022,April,36,28,32,"1,100.46"
04/29/2022,April,36,30,33,"1,213.68"
04/30/2022,April,36,26,31,990.24
05/01/2022,May,35,27,31,
05/02/2022,May,33,26,29.5,
05/03/2022,May,30,26,28,3.18
05/04/2022,May,31,25,28,851.69
05/05/2022,May,33,26,29.5,469.55
05/06/2022,May,31,26,28.5,170.56
05/07/2022,May,34,24,29,53.2
05/08/2022,May,35,27,31,"1,577.23"
05/09/2022,May,31,28,29.5,723.57
05/10/2022,May,30,27,28.5,"1,010.76"
05/11/2022,May,30,25,27.5,949.21
05/12/2022,May,32,26,29,"1,111.61"
05/13/2022,May,33,27,30,"1,230.44"
05/14/2022,May,33,28,30.5,"1,151.19"
05/15/2022,May,35,28,31.5,"1,210.31"
05/16/2022,May,35,28,31.5,"1,326.81"
05/17/2022,May,35,29,32,"1,181.18"
05/18/2022,May,36,28,32,"1,396.67"
05/19/2022,May,36,28,32,"1,527.40"
